pctAl,pctO
8.855486255567621, 0.0006441588284914065
8.849881957564914, 0.0005633016672810702
7.273473941863698, 0.0005011009798410107
5.326889603829725, 0.0003467187416857754
5.071847736825767, 0.0003353150133773729
5.496894009473036, 0.0002696057684625614
3.485515463074203, 0.00032447887825919877
3.31863526894844, 0.0003138066286095494
4.303486891172771, 0.00025649447903712704
4.442587451841966, 0.00021688890589221203
3.4805542653728767, 0.0002399493605354289
2.7257686878651417, 0.00024411496376618703
1.5153774860373719, 0.00023238809857569964
0.23698436519933103, 0.0004336089414852757
0.1218227160629301, 0.0008073126945519581
0.12188057079859503, 0.0008927517837520048
0.04160338106944881, 0.0011123480267077887
0.03424682972197132, 0.0013837407181115288
0.013978140145498556, 0.001532683504870429
0.014224744660364105, 0.0019708880596643113
