pctAl,pctO
0.001122472476884726, 0.13314949106655777
0.0011198109072428782, 0.08051833498831291
0.0019522612232046965, 0.11248287916059084
0.0018887416453584249, 0.10172395904999265
0.0017398014761697295, 0.08896839699430016
0.0014301211784825331, 0.08184326803395504
0.0014293292118575844, 0.07278007968393517
0.0014288768564259392, 0.06805915667019359
0.0016551926014155276, 0.07276064468185249
0.001737187611301668, 0.0646974911348698
0.0020129728881819087, 0.07396450891231363
0.002112691634946394, 0.06576794612765342
0.002149283645590294, 0.07908566869329457
0.0025716007163907426, 0.08039656958326157
0.003231624049871897, 0.08450872793568334
0.002329404392470532, 0.06358782527412478
0.0026977116268767135, 0.0646456750278282
0.0034447279959862495, 0.06354255447923132
0.0029727865854845877, 0.05558130400055483
0.002326641050055014, 0.049448327807665116
0.0068155494328331675, 0.03902654963667089
0.010919185350022667, 0.02883497514595776
0.009273048934111147, 0.02652412116637835
0.04786596359819369, 0.008892880403900521
0.15248503559584722, 0.011604629676173669
0.12328711293227623, 0.010151889873943495
0.11352914147424796, 0.00830296956288879
0.14254323505357913, 0.007257734766171671
0.1650418730890855, 0.007016525741517844
0.17309440441382576, 0.005365122057228432
0.2517737145960793, 0.005098456514462796
0.12091990230608735, 0.005279364440929639
0.101110017397916, 0.005742894797498786
0.0753625266002448, 0.005196056829339912
0.336324838128341, 0.0022408546719530627
0.39587200778137327, 0.00224018980185159
0.4736951789435643, 0.0023158265784783733
0.47392014116940545, 0.0025609139095035126
0.6675963028621126, 0.0027368456353923216
0.5761785519048344, 0.0024344219508942245
0.5469449986583006, 0.001245015862297115
0.6653285277763773, 0.0013309023652196181
