pctAl,pctO
0.000690553274212938, 0.008380448526230997
0.0008954137969464397, 0.00673599382772461
0.0031773591739389317, 0.0023370205187091134
0.005008928422010766, 0.0017856560905727848
0.011109185695843763, 0.0011150249461867783
0.012462849734441199, 0.0013405739313708516
0.013272082079452956, 0.0008242823209086501
0.022753410758094367, 0.0010413376394112822
0.02998361215254488, 0.0008093756130275743
0.036386931561163245, 0.0005232108021550393
0.04428722741786315, 0.0006289533720535473
0.045787503510692176, 0.0007313513918161857
0.04971512779341048, 0.000864722108143538
0.0632809942926569, 0.00043465244243448927
0.09823915693878647, 0.00040613292222582427
0.09211067295338182, 0.00048032440643230856
0.09522348262725827, 0.0005492382898792354
0.12369754866033575, 0.0006491865495138137
0.12981501068885726, 0.0005676477537365591
0.1686727969234889, 0.0007055569968143127
0.1323458847256128, 0.0010734027110603905
0.1533684436662466, 0.0012479009548429358
0.2712589176466679, 0.001165743728940583
0.38873209824959715, 0.0014981038611293468
0.4210098495256102, 0.001035820941330686
0.8788989878881248, 0.00173952614739335
